gene	nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf
ENSG00000108395_TRIM37	633	0.861226471360113	0.0174260352027139	0.115348694133445	0.00233029412997615	0.00366850517375187
ENSG00000108433_GOSR2	588	0.516837651578246	0.0159252194599378	0.447178255005463	0.0137725314873227	0.00628634246903033
ENSG00000108559_NUP88	1083	0.375462202066103	0.339552815719847	0.134356703099964	0.121477612457255	0.0291506666568314
ENSG00000108592_FTSJ3	492	0.108437332129636	0.00144163996353914	0.868055089779061	0.0115299813484878	0.0105359567792761
ENSG00000108639_SYNGR2	1080	0.383092613690767	0.428884184932617	0.0688037040918004	0.0769856688122616	0.0422338284725546
ENSG00000108651_UTP6	616	0.837289727398174	0.0155839494812171	0.140881351976255	0.00261850993937628	0.00362646120497798
ENSG00000108666_C17orf75	822	0.284783192137913	0.00890765504461208	0.671985382327337	0.021005527482603	0.0133182430075349
ENSG00000108771_DHX58	672	0.0568363937779524	0.616740858749192	0.0218354233919516	0.236871979078897	0.0677153450020069
ENSG00000108826_MRPL27	825	0.0747999759406754	0.00302824585914231	0.863165834344794	0.0349208240293539	0.024085119826034
ENSG00000108960_MMD	1027	0.612719285206461	0.21628889813331	0.11091228381199	0.0391309048134004	0.0209486280348387
ENSG00000125319_C17orf53	752	0.634015094381771	0.030238888548767	0.312679513494365	0.0149048602134104	0.00816164336168646
ENSG00000125445_MRPS7	796	0.835847607711814	0.0562486115672458	0.0953829626481763	0.00641271653423192	0.00610810153853192
ENSG00000126581_BECN1	597	0.070576875637716	0.765414343928503	0.00554609847975645	0.0600496636837409	0.0984130182702842
ENSG00000132141_CCT6B	1092	0.747700983970927	0.0361359726694587	0.195773330005895	0.00945067711000044	0.0109390362437188
ENSG00000132507_EIF5A	1018	4.39598421217916e-05	1.65809437178434e-06	0.95146068908007	0.0358749444771967	0.0126187485062394
ENSG00000141560_ILMN_14939	487	0.623622260111437	0.0349521817894222	0.270981471152394	0.0151323976776016	0.0553116892691451
ENSG00000141696_ILMN_21605	768	0.0697028299068428	0.756434764933558	0.00906359640380784	0.0982941993150633	0.0665046094407283
ENSG00000141698_NT5C3L	765	0.000107251179191237	0.00116394566343742	0.0839150886591928	0.910686125687345	0.00412758881083271
ENSG00000141720_PIP4K2B	642	0.0161289090896738	0.778867269245006	0.00288948575527411	0.139471026774822	0.0626433091352235
ENSG00000159199_ATP5G1	790	5.64449287971281e-05	3.35379549484217e-06	0.933333724421092	0.0554448466748033	0.0111616301798134
ENSG00000161326_DUSP14	757	0.755482653889597	0.0517007245810303	0.172643206204932	0.0118063036936258	0.00836711163081517
ENSG00000161664_ASB16	745	0.873274719320553	0.0417112940719066	0.0770246747877745	0.00367470963816918	0.00431460218159704
ENSG00000166260_COX11	929	0.243610377705249	0.0826519806892003	0.49237628690605	0.167038804416327	0.0143225502831739
ENSG00000166750_SLFN5	1001	0.000138703820764405	7.99385847163729e-06	0.936475996567591	0.0539621087118945	0.00941519704127965
ENSG00000167083_GNGT2	795	0.764325732677963	0.0274149240392804	0.195586381218557	0.00700965169863947	0.0056633103655597
ENSG00000167720_SRR	911	0.416954173437137	0.0355984462736552	0.48150972936259	0.041085176691934	0.0248524742346841
ENSG00000167895_TMC8	1057	0.403762408486137	0.442848047709402	0.0463131416198474	0.0507400823624847	0.0563363198221288
ENSG00000168646_AXIN2	750	0.896859327319824	0.0311430523856055	0.0665200957478402	0.00230671075120014	0.00317081379553025
ENSG00000170291_C17orf81	1035	0.000409053424082089	1.5409109512547e-05	0.924188709859581	0.0347737270371331	0.0406131005696919
ENSG00000172057_ORMDL3	645	5.73135663871555e-07	0.0340784328486541	3.61578597431005e-06	0.214241609919535	0.751675768310172
ENSG00000172301_C17orf79	615	0.721832586155526	0.0134162045798985	0.2541872664167	0.00471855807561243	0.00584538477226322
ENSG00000176974_SHMT1	579	0.389310720971621	0.0110778880309656	0.569001348108729	0.0161765751129421	0.0144334677757426
ENSG00000177370_TIMM22	820	0.00127190171515529	0.000169109082678686	0.872701696328829	0.116022545396206	0.00983474747713117
ENSG00000177602_GSG2	973	0.406738092968238	0.341665896350663	0.120142141693183	0.100890577956231	0.0305632910316859
ENSG00000181031_RPH3AL	443	0.813545616657635	0.0915940070840404	0.0729689722889878	0.00820160929600486	0.0136897946733321
ENSG00000182534_MXRA7	979	0.623213842071338	0.238479798272048	0.0835570460404444	0.0319512470183193	0.0227980665978499
